text,label,notes
They included Glass Onion but not The Northman. In my opinion that is an absurd opinion. An opinion that could not be justified to me under any circumstances. I would disagree with that opinion regardless of the explanation. I simply can’t co-sign such a viewpoint.,reaction,
"That's exactly how I felt! I thought it was heading towards something great and I liked a lot of the ideas it set up, then just got increasingly confusing and makes such big jumps in time without any explanation.",reaction,
"Curious if you got to watch Bardo by Alejandro Inarittu? I put it in my top 10 and love his surreal style mixing in with the meta life.

I haven’t seen it on any lists much but I really resonate with it. Could be that it’s also because I’m a Mexican/American and I relate with the heavy intercultural themes.",reaction,
I thought Kimi was awful. I feel like I am losing my mind every time I’m seeing people’s opinions of the year’s films bc it seems to always come up. I guess we’re crazy.,reaction,
I thought Babylon was a damn masterpiece,reaction,
I had the same reaction to Kimi.  It was just so so bad.  I don’t think I’ve ever bought into a single conspiracy in my whole life but I could be convinced that there is a one going on to make people think this terrible movie is good.,reaction,
"Probably the fairest review he could've given. Man I loved those movies when I saw them in theatres at like 7 years old, especially that sequel -- was that Monsters Unleashed? But for an adult... yeah i can't imagine concluding anything other than ""it is what it is""

I still can't believe Matthew Lillard played Shaggy",reaction,
just thought it was frickin epic brah 🤘,reaction,
"I was actually wondering if maybe every publication felt like they needed to be on Soderberg's good side for some reason, so I guess I was getting conspiracy-minded too lol

The only reason I stuck through it was because it took place in my city and it was fun to see familiar sites",reaction,
">Also, does anyone have suggestions for a under-the-radar, 'fun' popcorn movie from this list? I'm leaning towards 'Decision to Leave' based on the director's past

Maybe check out Athena. :) I love Decision to Leave tho!",reaction,
"I loved Bardo so much, a bit bizarre to me that it hasn’t been discussed much, but I wonder how accessible it is to people without some baseline of Mexican history/culturalknowledge",reaction,
I need to check it out! I regret not seeing it in theaters but I really should watch it.,reaction,
"I've seen every major Tarantino film bar Jackie Brown (I should get around to that), but I have zero interest in rewatching any of them, and I'm pretty sure I didn't bother finishing a couple. 

I think I get why people like them, but idk, they just leave me cold.",reaction,
I honestly think Green Mile is a laughably bad movie.,reaction,
Booksmart is so good! I also really enjoyed Moxie.,reaction,
"Loved Booksmart, and also Eighth Grade. Second Easy A, an absolute favourite. And for a madcap teenagers in love film, try Rosaline.",reaction,
Turn of century Brooklyn looked dope in movie though.,reaction,
It's so effin good start to finish.,reaction,
I personally wouldn't equate opiates with marijuana. I had people in my life die from opiates. I see your point about the melodrama tho.,reaction,
Agreed! The music stood out as a highlight and I immediately listened to the soundtrack again last night on my way home from the theater.,reaction,
Daniel Rossen and his previous band Grizzly Bear are absolute treasures.,reaction,"praises the composer/band, feeling about the music"
"Agreed. 

And while we're here, I thought conversations at the bar in the end were perfect. 

The movie did a great job of never stepping on or ruining what it has already laid out.",reaction,"names the bar conversation as object of praise, decorative"
"Yea, it's such a good movie to add to the canon. 

And thanks for the correction. For whatever reason, I thought a love triangle was A loves B loves C loves A. But I stand corrected.",reaction,"mostly housekeeping/correction with a bare ""good movie"""
"A very dialogue heavy movie in a sort of unpleasant way. I still liked it, though.",reaction,"""dialogue heavy in an unpleasant way"" is impression, decorative"
"it’s the first 3h+ film where I was literally GLAD there was more left actually. We all have different sensibilities, if you didn’t like it that’s fine, but believe us when we say we genuinely liked the pacing.",reaction,"pacing dropped on a feeling, no specific beat"
"Yeah, I get what you’re saying. I’ve been watching that movie multiple times a year since it came out on video in the late 80s. I have no idea why it’s so beloved. It really is terrible, but we love it. I think if you saw it as a kid without a lot to compare it to it holds a place in your heart forever.",reaction,
